GetEconomicData {Retail Sales Excluding Food Services | Series}
GetEconomicData {Retail and Food Services Sales | Series}
GetEconomicData {Retail Sales and Food Services Excluding Motor Vehicles and Parts Dealers | Series}
GetEconomicData {Consumer Price Index | Series}
GetEconomicData {Consumer Price Index Less Food and Energy | Series}
GetEconomicData {Employment Cost Index | Series}
GetEconomicData {Industrial Production Index | Series}
GetEconomicData {Capacity Utilization | Series}
GetEconomicData {Industrial Production Manufacturing | Series}
GetEconomicData {Total Consumer Credit Outstanding | Series}
GetEconomicData {Student Loans Outstanding | Series}
GetEconomicData {Finance Rate on Consumer Installment Loans | Series}
GetEconomicData {Japan US Foreign Exchange Rate | Series}
GetEconomicData {Canada US Foreign Exchange Rate | Series}
GetEconomicData {US Euro Foreign Exchange Rate | Series}
GetEconomicData {Trade Weighted US Dollar Index | Series}
GetEconomicData {US Euro Foreign Exchange Rate | Series}
GetEconomicData {Japan US Foreign Exchange Rate | Series}
GetEconomicData {Effective Federal Funds Rate | Series}
GetEconomicData {Ten Year Treasury Constant Maturity Rate | Series}
GetEconomicData {Three Month Treasury Bill Secondary Market Rate | Series}
GetEconomicData {Monetary Base | Series}
GetEconomicData {All Federal Reserve Banks Total Assets | Series}
GetEconomicData {US Treasury securities held by the Federal Reserve | Series}
GetEconomicData {Reserve Balances with Federal Reserve Banks | Series}
GetEconomicData {M Two Money Stock | Series}
GetEconomicData {M One Money Stock | Series}
GetEconomicData {Commercial and Industrial Loans | Series}
GetEconomicData {Loans and Leases in Bank Credit | Series}
GetEconomicData {Total Assets All Commercial Banks | Series}
GetEconomicData {Total Business Inventories to Sales Ratio | Series}
GetEconomicData {Total Business Sales | Series}
GetEconomicData {ISM Manufacturing PMI Composite Index | Series}
GetEconomicData {ISM Manufacturing New Orders Index | Series}
GetEconomicData {ISM Manufacturing Employment Index | Series}
GetEconomicData {Housing Starts Total New Privately Owned Housing Units Started | Series}
GetEconomicData {New Private Housing Units Authorized by Building Permits | Series}
GetEconomicData {Housing Starts Total New Privately Owned | Series}
GetEconomicData {Producer Price Index for All Commodities | Series}
GetEconomicData {Manufacturing Sector Real Output | Series}
GetEconomicData {Nonfarm Business Sector Real Output Per Hour of All Persons | Series}
GetEconomicData {Nonfarm Business Sector Real Compensation Per Hour | Series}
GetEconomicData {Balance on current account | Series}
GetEconomicData {Civilian Unemployment Rate | Series}
GetEconomicData {Total Nonfarm Payrolls | Series}
GetEconomicData {Civilian Labor Force Participation Rate | Series}
GetEconomicData {US Exports of Goods to Japan | Series}
GetEconomicData {US Imports of Goods from Japan | Series}
GetEconomicData {Trade Balance Goods and Services | Series}
GetEconomicData {All Sectors Debt Securities and Loans | Series}
GetEconomicData {Nonfinancial corporate business debt securities | Series}
GetEconomicData {Federal government consumer credit student loans | Series}
GetEconomicData {Real Gross Domestic Product | Series}
GetEconomicData {Gross Domestic Product | Series}
GetEconomicData {Personal Saving Rate | Series}
GetEconomicData {Personal Consumption Expenditures | Series}
GetEconomicData {Net Interest Margin for all US Banks | Series}
GetEconomicData {Commercial Banks in the US | Series}
GetEconomicData {Return on Average Assets for all US Banks | Series}
GetEconomicData {Total Population All Ages including Armed Forces Overseas | Series}
GetEconomicData {National Population | Series}
GetEconomicData {MZM Money Stock | Series}
GetEconomicData {MZM Own Rate | Series}
GetEconomicData {MZM Money Stock | Series}
GetEconomicData {Monetary Services Index M Two | Series}
GetEconomicData {Monetary Services Index M One | Series}
GetEconomicData {M Two Plus Institutional Type Money Market Mutual Funds | Series}
GetEconomicData {M Two Less Small Time Deposits | Series}
GetEconomicData {M Two Minus Own Rate | Series}
GetEconomicData {M Two Less Small Time Deposits | Series}
